Category,Category_Type,Junior High,Senior High,Junior College,University,Graduate School
All Employees,Total,1522.0689655172414,1362.0689655172414,1538.8106051086897,1712.4137931034481,1982.0689655172414
Male,Gender,1586.896551724138,1382.7586206896551,1532.229082727225,1733.103448275862,2001.3793103448277
Female,Gender,1455.1724137931035,1322.0689655172414,1542.0513871431954,1688.9655172413793,1917.9310344827586
Small & Medium Enterprises,,,,,,
Large Enterprises & Others,,,,,,
"Agriculture, Forestry, Fishing & Animal Husbandry",,,,,,
Mining & Quarrying,Industry,,1402.0689655172414,1831.7241379310344,2226.8965517241377,2297.2413793103447
Manufacturing,Industry,1452.4137931034481,1354.4827586206895,1444.8309018567638,1694.4827586206895,1967.5862068965516
Electricity & Gas Supply,Industry,,1306.2068965517242,1484.5454545454545,1660.0,1833.1034482758623
Water Supply & Waste Management,,,,,,
Construction,Industry,,1411.0344827586207,1539.2127224059202,1683.4482758620688,2048.2758620689656
Wholesale & Retail Trade,Industry,1646.896551724138,1333.7931034482758,1474.0693873246862,1708.2758620689656,1982.7586206896551
Transportation & Storage,Industry,,1412.4137931034484,1501.0133708655874,1613.7931034482758,1815.8620689655172
Accommodation & Food Service,Industry,1295.8620689655172,1364.1379310344828,1506.9320197044335,1637.2413793103449,1728.9655172413793
"Publishing, Audio-Visual & Information Communication",Industry,,1356.551724137931,1513.7628995721118,1699.3103448275863,2124.137931034483
Finance & Insurance,Industry,1749.655172413793,1268.965517241379,1523.8638373121132,1700.689655172414,2289.655172413793
Real Estate,Industry,1491.0344827586207,1364.8275862068965,1544.6324007807416,1800.689655172414,2176.551724137931
"Professional, Scientific & Technical Services",Industry,,1335.1724137931035,1532.0324333957053,1787.5862068965516,1929.655172413793
Administrative & Support Services,,,,,,
Education,Industry,,1317.9310344827586,1536.7100056529111,1635.8620689655172,2184.137931034483
Health Care & Social Work,Industry,,1357.9310344827586,1615.7946681109706,1804.8275862068965,1644.1379310344828
"Arts, Entertainment & Recreation",Industry,1602.0689655172414,1357.9310344827586,1437.0609728248457,1641.3793103448277,1700.6896551724137
Other Services,Industry,,1377.9310344827586,1454.202410989627,1577.9310344827586,1664.8275862068965
