項目別,國中,高級中等,專科,大學,年增率,研究所,年增率_1
,,（高中、高職）,,,(%),,(%)
全體,28,29,32,34,5.1,52,4.3
性別,,,,,,,
男性,28,30,32,34,5,54,3.8
女性,29,29,32,34,5.1,48,5.2
女性 / 男性 × 100 (%),100.4,98.8,100.2,98.7,,88.2,
任職公司規模,,,,,,,
中小企業,28,29,30,31,4.6,42,3.3
大企業及其他,30,31,35,38,5.1,55,3.8
任職行業,,,,,,,
農、林、漁、牧業,---,28,---,31,6,33,5.1
礦業及土石採取業,-,-,-,33,0,---,---
製造業,28,29,31,34,4.3,58,2.5
電力及燃氣供應業,-,31,---,43,13.2,43,5.8
用水供應及污染整治業,---,30,---,32,5.4,38,2.5
營建工程業,28,29,30,32,5.6,38,3.3
批發及零售業,28,29,31,31,4.8,45,3.3
運輸及倉儲業,---,34,38,36,5.9,40,6.9
住宿及餐飲業,29,30,31,32,5,34,7.5
出版影音及資通訊業,---,30,33,35,4,59,4.5
金融及保險業,-,30,34,38,4.5,48,2
不動產業,-,29,31,32,4.3,36,0.1
專業、科學及技術服務業,---,29,31,33,4.6,47,4.4
支援服務業,28,30,30,32,4.7,40,2.8
公共行政及國防；強制性社會安全,-,30,32,41,5.3,45,3.9
教育業,---,29,31,35,4.8,47,6.5
醫療保健及社會工作服務業,-,29,34,40,5,42,3.7
藝術、娛樂及休閒服務業,---,29,30,31,4.7,34,3.7
其他服務業,28,28,30,31,3.5,38,3.4
